name,sector,source,as_of
(주)그랜드관광호텔,숙박 및 음식점업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그루 조경사무소,전문 과학 및 기술 서비스업|건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그리니아,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그리팅테일,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그린마케팅트렌드연구소,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그린알앤이,하수ㆍ폐기물 처리 원료재생 및 환경 복원업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그린에코,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그린엘조경,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그린연서,그 밖의 모든 업종,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그린오피스,가구 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그린웨이브,전문직별 공사업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)그린천사,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
